id,name,long,lat,alt
02347099999,DELSBO,16.55000000000001,61.83333333333334,0
02443099999,ENKOPING,17.116666666666674,59.650000000000006,0
02464099999,BROMMA,17.941649567491453,59.35437235968618,0
02498099999,SVENSKA HOGARNA A,19.5,59.44999999999999,0
02505099999,MASESKAR,11.333333333333343,58.099999999999994,0
02512099999,SAVE,11.870372158519416,57.77472238986118,0
02539099999,ULLARED,12.783333333333331,57.116666666666674,0
02550099999,JONKOPING,14.06873063769865,57.75759404546369,0
02554099999,KETTSTAKA,15.033333333333331,58.71666666666667,0
02556099999,HAGSHULT,14.137221886944275,57.292221886944276,0
02567099999,LANDSORT,17.866666666666674,58.75,0
03969099999,DUBLIN,-6.270075437537713,53.42133272983304,0
04101099999,BJARGTANGAR,-24.51666666666668,65.5,0
