station,date,angle,angle_1,angle_2,str,fromto,dist
543370-99999,2003-9-18,158.9590423,136.572874948,181.306739102,13,True,30.3904437195
543370-99999,2003-9-23,159.747535411,143.404079875,180.526050857,10,True,35.0668281289
543370-99999,2003-9-28,166.503111943,143.404079875,181.088846004,9,True,23.9333132815
543370-99999,2003-9-28,70.9958518362,35.5832223221,104.161527672,6,False,32.0998311537
543370-99999,2003-10-3,71.5575902557,53.3594322757,82.4264043716,4,False,31.7703549734
543370-99999,2003-11-17,159.674074871,152.097004043,170.724278975,4,False,29.9141764677
543370-99999,2003-11-27,122.240750687,106.323796993,137.298886742,5,False,29.702623287
543370-99999,2003-12-2,102.531043049,53.3594322757,152.097004043,9,False,23.6087565076
514630-99999,2003-1-1,323.143687409,243.547697062,259.347831878,5,True,38.669218103
514630-99999,2003-1-6,249.671412915,234.73056227,259.347831878,5,True,35.9246960602
514630-99999,2003-1-11,255.191752923,214.206082673,275.542008545,12,True,44.3155058955
514630-99999,2003-1-16,262.35652926,242.310286182,282.654300837,14,True,53.2654058803
514630-99999,2003-1-21,259.841322692,242.310286182,279.454698637,13,True,51.1434971356
514630-99999,2003-1-26,254.260752567,245.554221894,264.048046823,4,True,46.4214799189
514630-99999,2003-4-1,262.581650845,242.310286182,283.592667978,15,True,51.3852836131
514630-99999,2003-4-6,273.382902886,259.440019695,283.592667978,13,True,60.3525096954
514630-99999,2003-4-6,246.305489289,237.887731078,254.754159965,10,True,53.374778985
514630-99999,2003-4-11,278.570139545,264.532410081,283.592667978,5,True,71.3495615512
514630-99999,2003-4-11,246.859151859,234.73056227,254.754159965,5,True,49.8965590815
514630-99999,2003-4-21,236.989490791,204.216432671,283.099139556,12,True,36.46279114
514630-99999,2003-4-26,241.291139572,230.488322182,259.347831878,5,True,18.8231551082
514630-99999,2003-4-26,215.807628776,204.86858756,228.283415488,4,True,31.2849438329
514630-99999,2003-5-16,261.211711125,259.298324242,264.048046823,4,True,33.9312701975
514630-99999,2003-7-10,158.568384463,260.153757149,237.887731078,4,True,50.131183641
514630-99999,2003-7-15,244.326213753,225.318858581,260.153757149,7,True,42.8194159497
514630-99999,2003-7-30,242.631482353,219.507611701,259.347831878,7,True,48.1121876986
514630-99999,2003-8-4,290.196165799,221.609340228,262.152641556,8,True,55.5638719787
514630-99999,2003-8-29,242.534825921,237.740354947,245.554221894,4,True,44.2978049714
514630-99999,2003-9-3,257.790348942,245.554221894,275.542008545,10,True,48.9962980672
514630-99999,2003-9-8,261.609091507,254.503177573,273.594758785,6,True,46.4672916075
514630-99999,2003-9-13,250.119567237,237.740354947,259.347831878,6,True,33.9050153257
514630-99999,2003-9-18,252.535318142,245.554221894,262.152641556,5,True,27.6821759041
514630-99999,2003-10-3,243.355016088,195.798147864,295.959248557,8,True,37.1914161922
514630-99999,2003-10-8,242.724414543,210.570900357,259.440019695,5,True,27.9959820672
514630-99999,2003-10-13,248.177727596,210.570900357,270.805870351,13,True,35.9693430468
514630-99999,2003-10-18,247.653877278,217.530044312,269.009075849,8,True,42.3796060928
514630-99999,2003-10-23,262.491967973,254.503177573,273.594758785,10,True,48.5170333732
514630-99999,2003-11-12,218.32902549,202.924967958,237.740354947,5,True,31.6792428438
514630-99999,2003-11-12,259.363366495,254.503177573,264.532410081,5,True,53.7968200782
514630-99999,2003-11-17,257.397091894,237.740354947,266.147319569,7,True,44.0324561508
514630-99999,2003-11-27,266.478108635,254.503177573,279.454698637,6,True,68.7697533072
514630-99999,2003-11-27,230.350126804,210.570900357,245.554221894,6,False,47.3130518483
514630-99999,2003-12-2,265.59868539,248.70899697,279.454698637,4,True,71.9850811362
514630-99999,2003-12-2,227.027739893,210.570900357,245.554221894,4,False,40.7106423261
577450-99999,2003-1-26,231.393860818,163.886419054,282.76647129,7,True,15.2515960333
577450-99999,2003-1-31,253.945655481,218.751892875,282.76647129,4,True,16.1406801907
577450-99999,2003-1-31,47.37676398,359.581641964,82.3345482412,6,False,27.2224863677
577450-99999,2003-2-25,1.52161992536,323.39354077,45.9085767323,6,False,20.5868942756
577450-99999,2003-4-1,6.50072519771,351.58707713,26.3849087681,5,False,17.7056228891
577450-99999,2003-4-6,3.08685583334,337.431614324,46.5532903874,12,False,25.6409270856
577450-99999,2003-4-6,324.091290258,319.035606708,331.479194479,6,False,36.5714895508
577450-99999,2003-4-11,354.181422359,337.431614324,11.3770403686,9,False,23.1081833417
577450-99999,2003-5-1,41.031153542,26.3849087681,50.7996601516,5,False,36.0885871538
577450-99999,2003-5-6,44.145391397,26.3849087681,57.8072360637,4,False,43.2844686749
577450-99999,2003-5-11,343.404238427,322.751483813,359.581641964,7,True,40.3351827668
577450-99999,2003-5-16,342.533731673,322.751483813,359.581641964,5,True,42.2675083071
577450-99999,2003-5-16,47.1302162748,43.1824149461,50.7996601516,5,False,34.6272943533
577450-99999,2003-6-20,56.487884081,41.5897606044,72.3802304067,4,True,46.586433331
577450-99999,2003-8-24,326.601040178,316.707675182,344.679574422,4,False,20.4015429377
577450-99999,2003-8-29,324.81075526,311.21327745,344.679574422,5,False,19.3472384217
577450-99999,2003-8-29,46.1280738821,28.8037760769,72.0532430515,4,False,25.514902421
577450-99999,2003-9-13,231.269040476,192.801763673,271.710748032,5,True,14.0368300234
577450-99999,2003-9-13,350.581953618,311.21327745,61.2938309184,12,False,27.2536583522
577450-99999,2003-9-18,226.752471795,179.317129075,259.842127352,9,True,15.5987792363
577450-99999,2003-9-18,8.45574927538,347.393860961,26.3849087681,4,False,23.2057158255
577450-99999,2003-9-23,247.116222217,218.751892875,271.710748032,6,True,17.156597026
577450-99999,2003-9-28,240.011540959,218.751892875,259.842127352,4,True,16.3054733221
577450-99999,2003-10-13,200.312833172,179.317129075,218.751892875,4,True,11.9908743549
577450-99999,2003-10-13,89.5919343108,354.282421399,45.0727151494,6,False,26.5365502295
577450-99999,2003-10-18,225.051102542,179.317129075,271.710748032,7,True,15.0863826924
577450-99999,2003-10-18,336.10438117,311.21327745,3.57295775731,5,False,19.8226683974
577450-99999,2003-10-23,66.4473804781,45.9085767323,79.464197896,4,False,30.3157848716
577450-99999,2003-11-7,313.451805313,293.043615641,341.763494704,4,True,26.6671761917
533910-99999,2003-1-6,272.310884438,264.183546411,280.852952526,4,True,20.8776918694
533910-99999,2003-1-6,86.8765909793,75.4808229832,94.2080749734,4,False,42.550658962
533910-99999,2003-1-11,90.0470369718,81.8529893646,95.995389324,6,False,41.4796877321
533910-99999,2003-1-16,215.738959745,197.185219391,229.520650002,5,True,15.7950242357
533910-99999,2003-1-16,276.29557775,269.388094034,280.852952526,4,True,24.9373510916
533910-99999,2003-1-21,215.738959745,197.185219391,229.520650002,5,True,15.7950242357
533910-99999,2003-1-26,282.673388189,274.81894478,294.89933579,4,True,28.0753420986
533910-99999,2003-2-10,194.9425458,182.289439458,211.105690607,5,True,30.3413456648
533910-99999,2003-2-15,120.869659481,91.62664045,144.319795,4,False,33.9036284824
533910-99999,2003-3-17,286.878011872,175.639060385,219.66329274,4,True,27.500390078
533910-99999,2003-3-27,205.110583352,193.39511419,219.66329274,6,True,17.3373382584
533910-99999,2003-4-1,195.550263195,170.452257933,219.66329274,7,True,16.1992958507
533910-99999,2003-4-6,166.991019965,160.3760224,172.21822148,4,True,18.967703776
533910-99999,2003-4-6,205.110583352,193.39511419,219.66329274,6,True,17.3373382584
533910-99999,2003-4-11,196.89842968,164.917578045,227.843499433,7,True,14.4144909315
533910-99999,2003-4-16,204.548650155,170.452257933,227.843499433,6,True,13.0223604623
533910-99999,2003-4-21,189.22007514,146.809257923,219.66329274,8,True,21.0422791752
533910-99999,2003-4-26,198.185614909,170.452257933,219.66329274,5,True,16.5305552616
533910-99999,2003-4-26,98.8483794561,79.6302463838,122.390814102,6,False,34.516546356
533910-99999,2003-5-1,98.9204310704,79.6302463838,122.390814102,8,False,35.7575590077
533910-99999,2003-5-6,85.8795446016,79.6302463838,91.62664045,4,False,46.0584408268
533910-99999,2003-9-13,92.2568584097,79.6302463838,107.362244597,4,False,38.7091248035
533910-99999,2003-9-18,169.516145383,156.689279343,192.443405706,4,True,33.9597499275
533910-99999,2003-9-23,187.297005036,164.014318437,204.832046025,9,True,24.844684913
533910-99999,2003-9-28,301.356242553,274.81894478,335.533158713,8,True,25.7241839592
533910-99999,2003-9-28,202.860615653,170.452257933,229.520650002,8,True,16.5132476044
533910-99999,2003-10-3,280.016329358,269.388094034,294.89933579,5,True,27.207659865
533910-99999,2003-10-3,203.08297164,170.452257933,229.520650002,8,True,16.8230504411
533910-99999,2003-10-8,211.131505987,197.185219391,229.520650002,6,True,18.2774737491
533910-99999,2003-11-7,204.890303,186.206864994,219.66329274,4,True,27.3822691709
533910-99999,2003-11-17,272.835761336,169.156344041,229.520650002,5,True,24.3102165681
533910-99999,2003-11-17,93.1571673763,73.9460675096,109.223922702,7,False,46.1678105861
533910-99999,2003-11-27,197.800484267,192.443405706,204.832046025,5,True,21.4198041113
533910-99999,2003-12-2,212.712824823,197.185219391,229.520650002,4,True,18.211170379
533910-99999,2003-12-2,165.758190594,151.159440573,182.289439458,5,False,37.5383807777
548630-99999,2003-1-16,59.6249964574,357.053635197,94.1266213925,16,False,44.4882180888
548630-99999,2003-1-21,51.367419882,357.053635197,95.2365367998,17,False,35.095228394
548630-99999,2003-1-26,29.110007005,327.181959723,76.1065912497,10,False,29.9840665602
548630-99999,2003-1-31,21.9163400603,327.181959723,68.610251571,9,False,18.0218325342
548630-99999,2003-1-31,99.1668489147,89.4063922924,121.852522245,4,False,18.054703422
548630-99999,2003-2-5,146.319340342,126.205323255,165.451567044,6,True,32.148762659
548630-99999,2003-2-15,261.648546376,164.874528776,181.495120625,4,True,13.9540936306
548630-99999,2003-2-20,81.1354091294,72.5682264902,91.3700945171,4,True,44.2190705512
548630-99999,2003-2-25,78.5372711883,72.5682264902,84.4967242608,4,True,49.1813478673
548630-99999,2003-4-1,81.8133830583,63.986667355,100.796733014,10,False,52.5269445468
548630-99999,2003-4-16,344.613816293,327.181959723,1.39952677302,4,True,18.8525504023
548630-99999,2003-5-6,146.572483264,125.924226932,162.641204138,6,False,29.6544406223
548630-99999,2003-8-4,101.187497453,82.0070380342,115.618501497,4,True,40.8864342478
548630-99999,2003-8-9,324.764931949,316.314093447,332.820143478,4,False,19.2664991451
548630-99999,2003-8-14,324.764931949,316.314093447,332.820143478,4,False,19.2664991451
548630-99999,2003-8-29,114.436426823,91.4724696337,130.569101262,5,True,41.0177603197
548630-99999,2003-9-3,146.333635112,125.924226932,167.122899861,5,True,24.5556191173
548630-99999,2003-9-3,81.2984527044,64.0529596636,95.2365367998,10,False,38.0242543386
548630-99999,2003-9-8,152.922415544,126.205323255,181.495120625,7,True,22.1600936329
548630-99999,2003-9-8,81.8405657328,72.5682264902,90.1719443218,8,False,35.8676277473
548630-99999,2003-9-13,148.734926739,130.569101262,165.451567044,6,True,26.0156833099
548630-99999,2003-9-13,88.4771110623,77.1856156104,95.2365367998,7,False,27.2516990351
548630-99999,2003-9-18,147.766652362,126.205323255,162.641204138,7,True,32.9454805745
548630-99999,2003-9-18,91.515189656,84.4967242608,98.4094457439,6,False,18.9320082234
548630-99999,2003-9-23,147.598114147,126.205323255,162.641204138,8,True,33.8646634129
548630-99999,2003-9-23,357.978878238,322.743531148,31.8866842011,7,False,18.2945195446
548630-99999,2003-9-28,156.661192622,126.205323255,181.559116345,11,True,28.3614978836
548630-99999,2003-9-28,44.9522889888,0.494595922161,77.1856156104,7,False,32.3800542025
548630-99999,2003-10-3,156.718686175,121.852522245,174.772969061,8,True,28.0030949146
548630-99999,2003-10-3,71.7267166298,31.8866842011,112.207945776,13,False,44.9202445613
548630-99999,2003-10-8,72.6599898501,55.993430508,84.4967242608,8,False,39.0349777274
548630-99999,2003-11-17,69.125426363,55.993430508,82.7819936027,7,False,54.0107948916
548630-99999,2003-11-22,67.2367039591,44.9700890314,84.9187678817,9,False,41.0301262789
548630-99999,2003-11-27,161.074233351,148.905975888,174.772969061,6,True,26.451943867
548630-99999,2003-11-27,59.5652509529,44.9700890314,67.8342117621,4,False,32.8654664794
552280-99999,2003-1-21,304.536610634,255.382220555,299.73072473,11,True,66.9412081265
552280-99999,2003-1-26,274.45144349,264.994085442,283.027655584,5,True,30.6040287861
552280-99999,2003-1-31,344.948344114,266.304860467,282.817274101,5,True,36.4214280939
552280-99999,2003-2-15,346.702394997,266.304860467,304.645907466,6,True,52.7908914614
552280-99999,2003-2-20,332.633609984,255.382220555,264.994085442,5,True,52.7623685737
552280-99999,2003-2-25,263.125643325,252.294690132,283.027655584,10,True,49.2220946191
552280-99999,2003-3-2,306.721618856,251.088460724,283.027655584,8,True,52.1608765593
552280-99999,2003-4-11,290.769800776,270.631785114,306.262075007,5,True,36.1484105081
552280-99999,2003-4-21,301.079916711,291.889409507,307.225883902,7,True,40.406179096
552280-99999,2003-4-21,276.797780123,264.994085442,289.343805911,7,True,46.220804913
552280-99999,2003-4-26,274.77130822,264.994085442,288.678076447,5,True,42.4613905248
552280-99999,2003-5-21,308.639122942,302.976526869,318.092005989,4,True,42.7585016478
552280-99999,2003-5-21,271.347134947,264.994085442,280.919930333,5,True,59.2170042699
552280-99999,2003-6-5,261.607866751,251.962860287,272.561447652,4,True,55.4035957929
552280-99999,2003-7-15,52.7279668702,265.317752248,251.050437924,5,True,66.5450188362
552280-99999,2003-7-20,1.23354594844,265.317752248,280.919930333,4,True,76.4985850468
552280-99999,2003-7-25,3.21174842016,265.317752248,280.919930333,4,True,76.5355713978
552280-99999,2003-7-25,288.861302346,285.745850714,291.838809596,4,False,58.1104800021
552280-99999,2003-8-14,330.728912606,266.304860467,299.875960776,8,False,42.1827240665
552280-99999,2003-8-19,278.76726733,255.357935098,306.262075007,4,False,31.397621471
552280-99999,2003-9-8,296.080319151,285.745850714,304.645907466,6,True,57.7043829907
552280-99999,2003-9-13,297.080171773,291.889409507,304.645907466,5,True,59.0962806673
552280-99999,2003-9-18,299.022856448,294.169998082,307.225883902,4,True,56.9007573218
552280-99999,2003-9-28,290.977792783,283.027655584,302.976526869,5,True,49.7658245263
552280-99999,2003-10-18,275.63948803,245.481067143,303.627825762,4,True,42.5668983061
552280-99999,2003-11-17,290.601668797,278.978968201,299.122139369,5,True,65.9243305229
537870-99999,2003-1-11,208.23482442,194.138227661,232.086905357,4,True,26.0485430292
537870-99999,2003-1-11,60.5856722834,36.1261293157,73.5830540926,5,False,37.7921061299
537870-99999,2003-1-16,69.814580279,62.8059528157,73.5830540926,4,False,47.5691860898
537870-99999,2003-1-16,88.1953322306,79.7126286092,99.9628405904,4,False,41.176025764
537870-99999,2003-1-21,68.1413836962,62.8059528157,73.5830540926,4,False,55.3857287073
537870-99999,2003-1-31,201.895272307,178.037730686,225.519057357,4,True,20.8181392354
537870-99999,2003-3-2,85.9693852468,83.6902886241,89.1927623356,4,True,27.1170944024
537870-99999,2003-3-22,222.963772389,212.994665438,232.086905357,4,True,16.9001053607
537870-99999,2003-3-27,60.6252138268,36.1261293157,77.4782703465,4,False,24.9870619042
