station,angle,angle_1,angle_2,str,fromto,dist
508880-99999,2003-4-26,123.135676271,119.434058355,129.97228937,6,False,50.1494473095
508880-99999,2003-9-18,136.240068281,113.216551781,149.953999106,10,True,37.7205943427
508880-99999,2003-4-21,150.243741395,146.119573989,154.503305947,5,False,48.8923500616
508880-99999,2003-6-5,127.335483718,110.782980822,137.099922506,4,False,64.0134248617
508880-99999,2003-12-2,98.2420167976,89.8725159684,102.44812875,4,False,60.7288575963
508880-99999,2003-12-2,110.160959848,105.945154916,112.748272123,4,False,70.2915515743
508880-99999,2003-12-2,123.671884208,116.115863699,132.508452356,5,False,56.7137408311
508880-99999,2003-9-13,64.8034992273,44.3558040183,80.8080006393,4,True,62.5774530746
508880-99999,2003-9-13,96.2359014045,90.3067625844,101.498055476,5,True,63.0275968098
508880-99999,2003-9-13,122.725986552,111.638886076,138.056322103,6,True,48.8754257386
508880-99999,2003-9-13,141.704567493,138.91119341,144.07561911,4,False,52.0407881326
508880-99999,2003-4-1,123.434775652,119.022964893,128.950579187,4,True,53.0117741545
508880-99999,2003-9-3,74.7809215807,39.6166612307,98.398469535,9,True,51.4803631746
508880-99999,2003-9-3,141.704567493,138.91119341,144.07561911,4,False,52.0407881326
508880-99999,2003-5-6,76.5581224213,55.4536564048,97.6887639191,4,True,71.9313252092
508880-99999,2003-5-6,123.803795106,119.434058355,128.843630289,8,False,50.4630624094
508880-99999,2003-5-1,123.430985531,119.434058355,128.843630289,7,False,55.3278057173
508880-99999,2003-4-6,144.814206957,129.97228937,154.503305947,7,False,48.7412859841
508880-99999,2003-4-6,91.3192417421,89.1621262478,94.3539287974,4,False,51.6199830533
508880-99999,2003-3-7,114.657097042,102.179138687,121.310420888,4,True,44.7493947769
508880-99999,2003-9-8,64.8034992273,44.3558040183,80.8080006393,4,True,62.5774530746
508880-99999,2003-9-8,93.5494090216,90.3067625844,98.398469535,4,True,47.571350014
508880-99999,2003-9-8,126.869009803,121.310420888,132.508452356,4,True,56.7208598987
508880-99999,2003-9-8,141.704567493,138.91119341,144.07561911,4,False,52.0407881326
508880-99999,2003-1-26,136.9185579,126.413462134,144.372783038,6,True,30.4280421334
508880-99999,2003-1-26,101.502048597,95.5648333843,107.996886516,11,False,52.7330075022
508880-99999,2003-6-25,111.370969687,105.945154916,119.434058355,4,True,55.8189009037
508880-99999,2003-1-21,144.785425105,138.056322103,149.953999106,5,True,29.5324137334
508880-99999,2003-1-21,115.109512815,106.888113696,121.310420888,4,True,44.1984859291
508880-99999,2003-1-21,66.2992131262,44.3558040183,78.5965358468,5,False,65.6010718932
508880-99999,2003-1-21,103.009721549,99.7187773849,105.945154916,5,False,68.2546493191
508880-99999,2003-2-20,108.229092318,96.2060450035,116.115863699,6,False,66.4555543378
508880-99999,2003-2-20,131.548940817,117.668669179,138.91119341,5,False,60.7295082632
508880-99999,2003-10-8,117.02339921,111.638886076,119.763076693,4,True,48.3452500145
508880-99999,2003-10-8,93.89499283,90.6963487998,97.0801663801,5,False,52.3730810604
508880-99999,2003-4-11,150.243741395,146.119573989,154.503305947,5,False,48.8923500616
508880-99999,2003-4-11,72.9179452683,55.4536564048,83.1280553072,4,False,70.6091871139
508880-99999,2003-4-11,91.3192417421,89.1621262478,94.3539287974,4,False,51.6199830533
508880-99999,2003-4-11,127.530665696,121.310420888,132.508452356,4,False,60.6082809619
508880-99999,2003-2-10,133.090445294,126.331500171,137.733418821,5,False,60.5861611079
508880-99999,2003-6-20,137.219118286,128.843630289,147.198838412,5,False,47.9566189127
508880-99999,2003-8-4,98.6181042861,96.2060450035,102.179138687,4,True,53.4564944724
508880-99999,2003-8-4,140.119017421,137.733418821,142.191350132,4,True,55.8025776344
508880-99999,2003-10-3,117.02339921,111.638886076,119.763076693,4,True,48.3452500145
508880-99999,2003-10-3,93.89499283,90.6963487998,97.0801663801,5,False,52.3730810604
508880-99999,2003-10-3,137.6230693,129.97228937,144.07561911,5,False,44.1611432954
508880-99999,2003-3-22,125.254085832,119.434058355,128.83732267,4,True,40.0428928541
535640-99999,2003-10-13,112.686193433,102.384885462,132.417586209,9,True,33.0206878895
535640-99999,2003-10-13,180.574144031,158.52104949,196.055063499,7,True,21.7458508988
535640-99999,2003-10-13,267.401210192,211.660913286,329.789555834,19,True,23.3986822625
535640-99999,2003-8-29,236.905916857,214.534487502,254.756350108,4,False,22.6360641148
535640-99999,2003-8-24,239.427666003,222.81837973,254.756350108,5,False,19.1952945931
535640-99999,2003-8-24,89.956483692,72.7931633379,102.384885462,5,False,25.2562966812
535640-99999,2003-10-18,112.972073823,102.384885462,132.417586209,6,True,37.1600284242
535640-99999,2003-10-18,176.835536046,150.665280156,196.055063499,8,True,22.0501241549
535640-99999,2003-10-18,227.001292606,213.557629738,249.977877863,7,True,21.799044316
535640-99999,2003-10-18,315.230689979,290.249367083,329.789555834,4,True,22.2456068392
535640-99999,2003-11-27,69.02921456,42.1665892074,81.1888893144,5,True,25.255830201
