station,angle,angle_1,angle_2,str,fromto,dist
533520-99999,2003-1-31,234.292867759,185.836340372,294.101454738,21,True,27.7228777443
533520-99999,2003-1-31,108.4315309,94.680268001,132.294077183,5,False,24.8059324847
533520-99999,2003-3-12,238.280899238,152.07395805,173.637463281,5,True,27.555163799
533520-99999,2003-3-12,192.787215858,185.836340372,197.844536226,5,True,28.41221095
533520-99999,2003-3-12,219.239980715,210.932162107,236.783710865,9,True,25.5466868056
533520-99999,2003-3-12,105.269018998,93.6223818685,118.639181207,4,False,36.4347886073
533520-99999,2003-3-17,213.479372244,152.07395805,196.202586722,10,True,27.000743678
533520-99999,2003-3-17,222.959886354,213.834875504,236.783710865,6,True,21.2978776617
533520-99999,2003-3-17,131.023217898,115.753247328,142.122312384,5,False,33.7327775389
533520-99999,2003-7-30,109.233797615,96.8004321066,121.108276776,5,True,42.5217560625
533520-99999,2003-7-30,84.8907228924,79.2293733578,90.8828074583,4,False,56.0480639086
533520-99999,2003-2-25,216.779940319,152.07395805,202.814496343,11,True,28.8992848399
533520-99999,2003-7-20,173.88143824,147.175115636,187.627615476,7,False,33.6876976917
533520-99999,2003-5-11,243.258234834,223.248418576,269.505365544,4,True,19.6111959977
533520-99999,2003-5-11,305.843018134,281.54876617,322.183331546,4,False,20.8878018656
533520-99999,2003-11-17,250.817957017,202.814496343,322.183331546,18,True,23.0359241696
533520-99999,2003-11-17,102.197929575,74.1037155179,137.501794959,9,False,34.2076348131
533520-99999,2003-7-10,172.508703493,164.123490204,185.836340372,6,False,31.4133288859
533520-99999,2003-2-5,171.273097596,166.4401702,177.297683184,4,True,29.0863652202
533520-99999,2003-2-5,194.792722609,185.836340372,202.814496343,7,True,30.5757799284
533520-99999,2003-2-5,239.958117659,223.248418576,269.505365544,5,True,21.6998481329
533520-99999,2003-2-5,292.170639895,276.776096288,318.34972552,6,True,27.3422590617
533520-99999,2003-1-1,247.267314115,213.834875504,281.54876617,10,True,23.6563247914
533520-99999,2003-1-1,94.0932846226,90.8828074583,96.8004321066,4,False,40.649085388
533520-99999,2003-1-6,247.208430702,213.834875504,281.54876617,12,True,21.5140356893
533520-99999,2003-4-26,250.794334584,187.627615476,309.008032066,13,True,23.246570569
533520-99999,2003-4-26,140.716229047,132.294077183,152.07395805,4,True,27.6391494723
533520-99999,2003-7-15,178.119674754,166.4401702,187.627615476,6,False,31.3091807454
533520-99999,2003-9-18,224.102566582,213.834875504,236.783710865,4,True,17.9710261581
533520-99999,2003-9-18,85.0638456634,75.2068706946,93.6223818685,4,False,33.5349134563
533520-99999,2003-9-18,132.271798039,101.020342008,152.07395805,5,False,36.5078755078
533520-99999,2003-4-21,112.709693546,96.493142193,132.294077183,9,True,31.2988030797
533520-99999,2003-4-21,239.037039454,184.510531978,309.008032066,14,True,22.2445914585
533520-99999,2003-7-25,107.754205587,93.6223818685,121.108276776,5,True,35.4478238198
533520-99999,2003-12-2,234.712160007,185.836340372,281.199516134,17,True,22.4363345399
533520-99999,2003-9-13,211.991260395,202.814496343,227.452823642,4,True,21.1124843118
533520-99999,2003-9-13,85.0638456634,75.2068706946,93.6223818685,4,False,33.5349134563
533520-99999,2003-9-13,127.321258036,101.020342008,142.122312384,4,False,35.0525307327
533520-99999,2003-4-1,283.406458333,276.776096288,294.101454738,4,True,29.4588377554
533520-99999,2003-4-1,220.335672374,159.000792035,196.202586722,9,True,18.9472088928
533520-99999,2003-4-1,223.931736981,213.834875504,236.783710865,5,True,20.2487962388
533520-99999,2003-9-3,125.399121291,96.493142193,159.000792035,4,True,23.8713211373
533520-99999,2003-9-3,82.8718196343,74.1037155179,93.6223818685,5,False,38.1485487716
533520-99999,2003-5-6,247.550970193,223.248418576,275.489170957,6,True,17.4756134845
533520-99999,2003-5-6,305.843018134,281.54876617,322.183331546,4,False,20.8878018656
533520-99999,2003-5-6,131.710003769,115.398553884,142.122312384,5,False,22.9271753238
533520-99999,2003-5-1,245.400904536,203.86284609,281.54876617,9,True,17.2310226531
533520-99999,2003-5-1,97.0062070546,94.680268001,100.050985918,4,False,21.8683898784
533520-99999,2003-4-6,251.715136442,213.834875504,294.101454738,13,True,22.7318864316
533520-99999,2003-4-6,85.0638456634,75.2068706946,93.6223818685,4,False,33.5349134563
533520-99999,2003-3-7,190.464546225,171.535830942,197.844536226,6,True,24.4661076838
533520-99999,2003-3-7,219.915618866,210.932162107,236.783710865,8,True,26.0244262404
533520-99999,2003-9-8,82.8718196343,74.1037155179,93.6223818685,5,False,38.1485487716
533520-99999,2003-1-26,248.592756947,210.932162107,294.101454738,17,True,25.8045793344
533520-99999,2003-1-26,108.4315309,94.680268001,132.294077183,5,False,24.8059324847
533520-99999,2003-1-26,243.176887885,152.07395805,184.510531978,5,False,32.3274663093
533520-99999,2003-3-2,188.604490508,171.535830942,197.844536226,6,True,26.6074649308
533520-99999,2003-7-5,93.2142050441,86.2734027088,101.020342008,4,True,47.418587703
533520-99999,2003-7-5,183.089280584,167.717073719,197.844536226,6,False,32.4907284564
533520-99999,2003-2-20,208.290055929,152.07395805,202.814496343,14,True,28.4913152686
533520-99999,2003-2-20,90.2211497107,75.2068706946,101.020342008,7,False,43.7033536074
533520-99999,2003-10-8,166.707118015,112.014080809,203.86284609,10,True,21.0243355936
533520-99999,2003-10-8,259.218337261,213.834875504,322.183331546,16,True,24.3698803905
533520-99999,2003-2-15,269.05970646,223.248418576,318.34972552,11,True,21.0670482049
533520-99999,2003-2-15,190.463479897,167.717073719,202.814496343,7,True,28.2877653753
533520-99999,2003-2-15,90.511587826,75.2068706946,101.020342008,4,False,40.6915735596
533520-99999,2003-5-16,236.658233767,152.07395805,181.395477278,5,True,34.6631697569
533520-99999,2003-5-16,241.96333004,223.248418576,269.505365544,5,True,19.5851653596
533520-99999,2003-5-16,299.69363793,281.199516134,322.183331546,4,False,25.1853070842
533520-99999,2003-5-16,105.744424328,92.1967567325,137.501794959,5,False,26.899249574
533520-99999,2003-5-16,215.301631787,210.932162107,218.338856316,4,False,23.1416163452
533520-99999,2003-4-11,251.715136442,213.834875504,294.101454738,13,True,22.7318864316
533520-99999,2003-4-11,190.876532635,184.510531978,196.798482631,4,True,18.8521972168
533520-99999,2003-4-11,90.5078886673,75.2068706946,115.398553884,4,False,33.5288503736
533520-99999,2003-2-10,297.829936337,281.54876617,318.34972552,5,True,24.0103024909
533520-99999,2003-2-10,226.340207693,157.981169585,202.814496343,9,True,29.0954144485
533520-99999,2003-2-10,250.293693649,223.248418576,276.776096288,7,True,20.4896122836
533520-99999,2003-8-9,98.944835992,93.6223818685,108.600755975,5,False,31.3433533309
533520-99999,2003-8-4,288.900272365,272.59611976,318.34972552,5,True,17.9399913777
533520-99999,2003-8-4,84.8907228924,79.2293733578,90.8828074583,4,False,56.0480639086
533520-99999,2003-3-27,254.516052773,213.834875504,309.008032066,13,True,23.150720111
533520-99999,2003-3-27,250.857533116,157.981169585,166.4401702,4,True,24.862833982
533520-99999,2003-3-27,183.902194051,171.535830942,196.202586722,8,True,21.7355673885
533520-99999,2003-10-3,247.871192488,177.297683184,328.282742816,24,True,24.9788878482
533520-99999,2003-3-22,254.516052773,213.834875504,309.008032066,13,True,23.150720111
533520-99999,2003-3-22,250.857533116,157.981169585,166.4401702,4,True,24.862833982
533520-99999,2003-3-22,183.902194051,171.535830942,196.202586722,8,True,21.7355673885
533520-99999,2003-3-22,134.53167459,115.753247328,152.07395805,6,False,35.1655237172
540120-99999,2003-10-13,223.299581245,140.856669165,340.634661359,19,True,23.0885100293
540120-99999,2003-8-29,262.149596852,217.976704592,309.60948722,8,True,17.4728118589
540120-99999,2003-8-29,152.882996388,149.412301802,161.496087708,4,True,34.8224655063
540120-99999,2003-8-24,255.369612513,217.976704592,284.7754146,7,True,16.951959879
540120-99999,2003-10-18,121.054357825,112.096021904,130.859384318,4,True,46.8846085714
540120-99999,2003-10-18,165.660114521,140.856669165,178.760811303,6,True,30.2716475259
540120-99999,2003-11-27,179.670343946,176.405864591,184.111563077,5,True,29.7048021528
540120-99999,2003-11-27,238.722187293,200.273339544,262.977429724,6,True,16.7411597059
540120-99999,2003-11-27,117.332450733,108.3549864,130.859384318,5,False,34.2272269257
540120-99999,2003-11-22,238.295838203,189.258167261,284.7754146,8,True,18.0494968825
540120-99999,2003-11-22,90.5439027909,84.5826286151,98.7235147357,4,False,68.8929270929
540120-99999,2003-11-22,157.598605006,149.412301802,162.512056365,5,False,42.0440811462
540120-99999,2003-7-25,100.441210489,91.5315991526,114.280041766,4,True,57.7842277752
540120-99999,2003-7-25,269.521865569,259.582529173,284.7754146,4,True,19.0517661626
540120-99999,2003-7-25,120.614634104,116.384695524,124.257696358,4,False,27.5708069689
540120-99999,2003-4-16,100.401694404,91.5315991526,112.096021904,4,True,55.7020443451
540120-99999,2003-4-16,254.897065121,157.521615474,170.191153293,4,True,30.7489005442
540120-99999,2003-4-16,185.01435748,176.405864591,193.610273522,5,True,21.2638235026
540120-99999,2003-4-16,265.031311102,247.069093235,284.7754146,5,True,18.2241798638
540120-99999,2003-1-16,91.5586193365,84.5826286151,98.7235147357,8,True,53.4591013535
540120-99999,2003-1-16,125.92947663,111.295292066,140.856669165,12,True,31.5518833932
540120-99999,2003-1-16,214.287421071,176.405864591,270.752088777,14,True,19.8134349895
540120-99999,2003-1-11,100.962002426,87.33786866,116.384695524,5,True,48.0887328367
540120-99999,2003-1-11,203.814146922,169.363435354,259.582529173,10,True,17.4558923414
540120-99999,2003-9-23,156.894585653,134.491434813,170.191153293,4,True,15.5439144993
540120-99999,2003-9-23,236.824579793,176.405864591,309.60948722,12,True,17.503955036
540120-99999,2003-5-21,110.724579567,107.158762866,114.280041766,5,False,38.1834444417
540120-99999,2003-5-21,138.430837128,120.493476212,153.53231915,8,False,35.6984793552
540120-99999,2003-5-21,166.223630615,161.496087708,170.695225094,4,False,33.1882148413
540120-99999,2003-11-12,182.302469335,175.975838838,187.036670725,6,True,33.2412993833
540120-99999,2003-11-12,197.842289527,189.258167261,217.976704592,4,True,22.6616331611
540120-99999,2003-11-12,96.8602988638,84.5826286151,111.295292066,6,False,54.6866313478
540120-99999,2003-11-12,156.690757015,150.694361194,161.496087708,4,False,38.3338554524
540120-99999,2003-9-28,213.610812305,140.856669165,309.60948722,18,True,21.121890608
540120-99999,2003-5-26,128.357740792,114.280041766,149.929234847,4,False,47.2717529346
540120-99999,2003-6-10,152.618658145,145.972818573,157.521615474,4,True,34.4522004835
540120-99999,2003-6-15,149.120284591,142.42826454,157.521615474,4,True,39.4621051209
540120-99999,2003-6-15,165.998503484,162.512056365,170.230220712,4,False,42.4289861154
540120-99999,2003-2-5,91.7409469893,81.509670218,99.6020821803,5,True,65.790245597
540120-99999,2003-2-5,134.34229018,130.997524607,136.430641479,4,True,31.1482066527
540120-99999,2003-2-5,226.951069153,187.036670725,284.7754146,9,True,19.9028310897
540120-99999,2003-2-5,147.921343253,140.856669165,153.53231915,4,False,40.5370593822
540120-99999,2003-1-31,91.0047590828,81.509670218,99.6020821803,6,True,62.630368493
540120-99999,2003-1-31,232.84118915,189.258167261,284.7754146,11,True,19.6745224574
540120-99999,2003-3-12,180.164989846,169.363435354,189.258167261,5,True,19.1977870849
540120-99999,2003-3-12,119.792474401,99.6020821803,135.529777223,4,False,41.1762421019
540120-99999,2003-3-17,259.771698845,244.454027491,284.7754146,5,True,20.5419083521
540120-99999,2003-3-17,119.495932286,109.546603386,130.859384318,5,False,50.3166004661
540120-99999,2003-3-17,156.026470482,149.412301802,163.981313896,5,False,40.1167248869
540120-99999,2003-7-30,269.521865569,259.582529173,284.7754146,4,True,19.0517661626
540120-99999,2003-2-25,138.976020424,134.491434813,149.929234847,4,True,20.9092890099
540120-99999,2003-2-25,178.977978018,153.53231915,200.273339544,12,True,23.0326972484
540120-99999,2003-2-25,111.233218753,98.7235147357,118.529372685,4,False,26.5646897932
540120-99999,2003-8-19,255.369612513,217.976704592,284.7754146,7,True,16.951959879
540120-99999,2003-8-19,109.128625375,88.0114080397,120.493476212,5,True,39.9488232001
540120-99999,2003-8-19,177.084560721,170.191153293,187.036670725,6,True,30.8210743541
540120-99999,2003-7-20,269.521865569,259.582529173,284.7754146,4,True,19.0517661626
540120-99999,2003-5-11,94.8439445928,88.0114080397,99.2556418228,5,True,43.0895246156
540120-99999,2003-5-11,107.946543846,99.6020821803,112.533814738,4,False,44.4377321972
540120-99999,2003-5-11,162.499911848,145.972818573,193.610273522,12,False,31.2181178721
540120-99999,2003-11-17,183.567795434,178.760811303,187.036670725,5,True,31.992764405
540120-99999,2003-11-17,229.050099188,189.258167261,284.7754146,10,True,21.0019908336
540120-99999,2003-11-17,100.086012117,84.5826286151,112.533814738,9,False,50.1804564286
540120-99999,2003-11-17,156.690757015,150.694361194,161.496087708,4,False,38.3338554524
540120-99999,2003-10-28,171.967471388,162.512056365,178.760811303,4,True,24.5321082947
540120-99999,2003-5-16,109.835714018,107.158762866,112.533814738,4,False,31.9455160259
540120-99999,2003-5-16,156.843294146,134.491434813,170.695225094,11,False,31.0021441641
540120-99999,2003-1-1,225.325132546,189.258167261,259.582529173,6,True,17.1487362146
540120-99999,2003-1-1,170.333741489,157.050963683,178.760811303,6,True,21.8393801916
540120-99999,2003-1-1,116.914712077,81.509670218,145.972818573,5,False,41.3627832333
540120-99999,2003-8-14,263.601116683,247.069093235,284.7754146,4,True,21.180265156
540120-99999,2003-3-2,177.287122106,153.53231915,200.273339544,11,True,20.5414682443
540120-99999,2003-10-23,121.054357825,112.096021904,130.859384318,4,True,46.8846085714
540120-99999,2003-1-6,165.167998198,149.412301802,178.760811303,8,True,24.9966409394
540120-99999,2003-1-6,225.325132546,189.258167261,259.582529173,6,True,17.1487362146
540120-99999,2003-1-6,120.905038259,81.509670218,145.972818573,6,False,43.5936308687
540120-99999,2003-4-26,281.570561809,247.069093235,336.227889934,7,True,18.01726962
540120-99999,2003-4-26,184.508779169,176.405864591,193.610273522,4,True,20.1386242014
540120-99999,2003-4-26,150.939912545,146.602023502,157.050963683,4,False,43.3815681361
540120-99999,2003-11-7,197.842289527,189.258167261,217.976704592,4,True,22.6616331611
540120-99999,2003-11-7,96.381230272,84.5826286151,111.295292066,5,False,55.969890541
540120-99999,2003-9-18,156.939757675,142.42826454,170.191153293,5,True,26.3783336314
540120-99999,2003-9-18,268.077996907,244.454027491,309.60948722,6,True,20.6380529131
540120-99999,2003-9-18,129.32139598,123.286771851,134.41121741,4,False,33.0695703143
540120-99999,2003-4-21,272.461007122,247.069093235,309.60948722,6,True,18.7066125061
540120-99999,2003-4-21,100.401694404,91.5315991526,112.096021904,4,True,55.7020443451
540120-99999,2003-4-21,254.897065121,157.521615474,170.191153293,4,True,30.7489005442
540120-99999,2003-4-21,185.01435748,176.405864591,193.610273522,5,True,21.2638235026
540120-99999,2003-4-21,142.373507664,128.72821034,150.694361194,5,False,46.9160585115
540120-99999,2003-11-2,182.887850113,170.230220712,187.755331985,4,False,33.1218970994
540120-99999,2003-6-5,152.618658145,145.972818573,157.521615474,4,True,34.4522004835
540120-99999,2003-12-2,238.722187293,200.273339544,262.977429724,6,True,16.7411597059
540120-99999,2003-12-2,178.560039163,176.405864591,181.400755036,4,True,29.53401107
540120-99999,2003-12-2,111.376119117,98.7235147357,130.859384318,6,False,40.8633283252
540120-99999,2003-12-2,159.702352249,149.412301802,169.363435354,4,False,40.167770627
540120-99999,2003-9-13,155.771337204,142.42826454,170.191153293,6,True,25.6999630731
540120-99999,2003-9-13,262.149596852,217.976704592,309.60948722,8,True,17.4728118589
540120-99999,2003-4-1,263.601116683,247.069093235,284.7754146,4,True,21.180265156
540120-99999,2003-4-1,185.471186564,176.405864591,193.610273522,6,True,23.3588877396
540120-99999,2003-4-1,105.181432699,81.509670218,128.72821034,5,False,52.4702044327
540120-99999,2003-9-3,262.149596852,217.976704592,309.60948722,8,True,17.4728118589
540120-99999,2003-9-3,156.344627769,149.412301802,170.191153293,5,True,29.6486235557
540120-99999,2003-9-3,102.816852573,78.4737860624,128.72821034,4,False,57.8956434861
540120-99999,2003-9-3,188.820630015,184.111563077,193.610273522,4,False,30.4441301168
540120-99999,2003-5-6,94.8439445928,88.0114080397,99.2556418228,5,True,43.0895246156
540120-99999,2003-5-6,149.089739575,145.972818573,153.53231915,5,False,33.6138883442
540120-99999,2003-5-1,112.67706945,98.7235147357,140.856669165,6,True,38.3504484764
540120-99999,2003-5-1,280.286406942,244.454027491,336.227889934,6,True,19.0661994863
540120-99999,2003-4-6,265.031311102,247.069093235,284.7754146,5,True,18.2241798638
540120-99999,2003-4-6,177.392913577,169.363435354,189.258167261,7,True,24.2715282297
540120-99999,2003-3-7,171.564748514,135.953634811,193.610273522,10,True,22.6189173456
540120-99999,2003-6-20,147.467561506,140.856669165,157.521615474,5,True,42.5192579058
540120-99999,2003-6-20,165.998503484,162.512056365,170.230220712,4,False,42.4289861154
540120-99999,2003-7-10,235.372784797,189.258167261,262.977429724,5,True,16.2525807677
540120-99999,2003-7-10,113.83790708,98.2605567254,124.257696358,4,False,42.3598555473
540120-99999,2003-6-25,145.153785461,130.859384318,157.521615474,5,True,42.8766911123
540120-99999,2003-1-21,90.4420694345,81.509670218,98.7235147357,9,True,53.9823210828
540120-99999,2003-1-21,129.33277552,111.295292066,153.53231915,14,True,30.5892333948
540120-99999,2003-1-21,217.207707646,176.405864591,284.7754146,16,True,21.5337133816
540120-99999,2003-2-20,190.315841218,181.400755036,200.273339544,5,True,24.7459505762
540120-99999,2003-10-8,216.687062455,140.856669165,340.634661359,22,True,25.0519756461
540120-99999,2003-10-8,109.038700667,99.6020821803,116.384695524,5,False,50.0624482473
540120-99999,2003-2-15,187.639853359,177.672725724,200.273339544,8,True,28.634428652
540120-99999,2003-2-15,121.678690224,116.384695524,128.72821034,5,False,35.4975736276
540120-99999,2003-2-15,156.516798637,140.856669165,170.230220712,5,False,37.2595610059
540120-99999,2003-4-11,265.031311102,247.069093235,284.7754146,5,True,18.2241798638
540120-99999,2003-4-11,113.910650812,91.5315991526,128.72821034,4,True,53.9771563751
540120-99999,2003-4-11,176.806387822,162.512056365,193.610273522,10,True,25.6849625005
540120-99999,2003-2-10,134.34229018,130.997524607,136.430641479,4,True,31.1482066527
540120-99999,2003-2-10,207.3937153,177.672725724,262.977429724,12,True,24.572506032
540120-99999,2003-2-10,156.516798637,140.856669165,170.230220712,5,False,37.2595610059
540120-99999,2003-8-9,263.601116683,247.069093235,284.7754146,4,True,21.180265156
540120-99999,2003-8-9,138.41792121,130.859384318,145.972818573,4,True,30.5821011793
540120-99999,2003-8-9,173.604015442,167.270422964,177.672725724,5,True,36.4201069032
540120-99999,2003-9-8,262.149596852,217.976704592,309.60948722,8,True,17.4728118589
540120-99999,2003-9-8,102.173898495,78.4737860624,128.72821034,5,False,61.604451562
540120-99999,2003-8-4,265.031311102,247.069093235,284.7754146,5,True,18.2241798638
540120-99999,2003-3-27,265.031311102,247.069093235,284.7754146,5,True,18.2241798638
540120-99999,2003-3-27,189.415110873,187.036670725,193.610273522,4,True,25.5051138698
540120-99999,2003-3-27,117.095293944,96.6975592133,130.859384318,4,False,47.9293400474
540120-99999,2003-3-27,148.170376268,145.972818573,150.694361194,4,False,42.359752191
540120-99999,2003-10-3,209.576792067,140.856669165,309.60948722,20,True,23.6636650091
540120-99999,2003-3-22,265.031311102,247.069093235,284.7754146,5,True,18.2241798638
540120-99999,2003-3-22,119.495932286,109.546603386,130.859384318,5,False,50.3166004661
540120-99999,2003-3-22,148.170376268,145.972818573,150.694361194,4,False,42.359752191
540120-99999,2003-1-26,232.84118915,189.258167261,284.7754146,11,True,19.6745224574
540120-99999,2003-1-26,117.322805853,84.5826286151,170.191153293,15,True,42.826023826
586330-99999,2003-10-13,146.761027146,130.993012702,171.345937639,7,True,15.6024292519
586330-99999,2003-10-13,20.273408501,11.0880477322,29.7789295248,8,False,21.4383030761
586330-99999,2003-10-13,52.5064136159,36.6867647742,65.5474951386,7,False,53.9528858461
586330-99999,2003-10-13,70.3745049696,335.769263518,346.702760028,4,False,25.6257595047
586330-99999,2003-8-24,61.417625999,335.769263518,30.9629801214,6,True,30.1552283063
586330-99999,2003-8-29,10.9540023267,354.634420494,30.9629801214,6,True,31.8290720344
586330-99999,2003-8-29,336.515065106,331.265000575,341.251790292,4,True,30.1746801172
586330-99999,2003-11-27,2.01226139069,352.023862741,11.0880477322,5,True,24.4614600243
586330-99999,2003-11-27,146.868178244,121.012335197,171.345937639,6,True,14.6032332528
586330-99999,2003-11-27,95.9331330457,84.9115033947,108.447518313,5,False,25.9687000636
586330-99999,2003-11-22,79.3531228986,332.622622981,358.131585378,4,True,28.0170913807
586330-99999,2003-11-22,154.709733583,136.137443053,171.345937639,4,True,14.1422044713
586330-99999,2003-11-22,95.9331330457,84.9115033947,108.447518313,5,False,25.9687000636
586330-99999,2003-1-21,152.850956754,108.447518313,216.061832397,10,True,15.2010448663
586330-99999,2003-1-21,343.855302902,316.848307013,11.0880477322,6,False,22.2610293778
586330-99999,2003-1-21,34.194368276,29.2392440428,41.0725347622,4,False,26.426197186
586330-99999,2003-1-21,51.0813862001,48.8375513633,54.1274907415,5,False,42.2497481391
586330-99999,2003-1-21,66.7645298062,63.4249146764,73.9796429278,4,False,67.6816094706
586330-99999,2003-1-21,93.2731777498,76.0128787899,106.239483642,5,False,30.5987925658
586330-99999,2003-4-11,9.99476771873,347.961713307,41.0725347622,8,True,28.8064855838
586330-99999,2003-4-11,50.9530740642,48.8375513633,54.1274907415,4,False,46.4537913266
586330-99999,2003-4-11,75.0695424365,60.8326796437,98.4180937285,8,False,41.7978403618
586330-99999,2003-4-16,58.7778272348,346.702760028,18.6947570231,6,True,21.0918950184
586330-99999,2003-4-16,65.3382563108,60.8326796437,73.9796429278,7,False,62.7378911853
586330-99999,2003-6-30,122.736064245,97.753121967,143.134899253,7,False,25.365935479
586330-99999,2003-9-23,152.658525343,108.326110692,216.061832397,13,True,16.8325303361
586330-99999,2003-9-23,16.7243395875,355.092893935,41.0725347622,10,False,22.5392533617
586330-99999,2003-9-23,57.1126611616,51.9075210023,63.4599787139,5,False,45.1276720291
586330-99999,2003-9-23,332.581713488,316.848307013,341.251790292,5,False,25.4307547569
586330-99999,2003-5-21,66.776647518,36.6867647742,99.9462391703,5,True,50.5918400471
586330-99999,2003-9-28,141.695834208,106.239483642,171.345937639,8,True,18.4972895157
586330-99999,2003-9-28,24.1828929477,11.0880477322,36.6867647742,9,False,21.8491128557
586330-99999,2003-9-28,332.588531737,316.848307013,341.251790292,6,False,28.2620321247
586330-99999,2003-5-26,49.4913070436,36.6867647742,61.6299105298,4,True,58.4750618748
586330-99999,2003-6-10,103.096590773,97.753121967,108.447518313,4,True,32.4827336105
586330-99999,2003-10-18,146.761027146,130.993012702,171.345937639,7,True,15.6024292519
586330-99999,2003-10-18,18.6727205967,11.0880477322,29.2392440428,4,False,18.8419634037
586330-99999,2003-10-18,66.2479709992,36.6867647742,108.447518313,12,False,43.2921287413
586330-99999,2003-11-12,354.970690637,352.023862741,358.131585378,4,True,27.9194018266
586330-99999,2003-11-12,36.4157736728,15.6688335888,60.8326796437,8,False,32.8842798468
586330-99999,2003-1-31,18.4162093416,12.1909763744,26.0187600145,5,True,22.3289692326
586330-99999,2003-1-31,158.190661428,108.447518313,216.061832397,11,True,14.6553542897
586330-99999,2003-1-31,39.1535530026,29.2392440428,51.5946347438,8,False,26.5583219918
586330-99999,2003-1-31,79.256393002,54.2340875662,106.239483642,10,False,34.5048592558
586330-99999,2003-1-31,329.627534152,316.848307013,337.77420604,4,False,28.5076801177
586330-99999,2003-3-12,45.4786328072,36.6867647742,52.9834450673,5,False,36.8649035781
586330-99999,2003-2-5,160.898285539,108.326110692,216.061832397,10,True,14.4693776568
586330-99999,2003-2-5,30.3839921377,19.5077197074,41.0725347622,6,False,25.1209123359
586330-99999,2003-2-5,330.855880025,316.848307013,337.77420604,5,False,28.3253722981
586330-99999,2003-3-17,5.3002845467,354.598264595,15.6688335888,6,True,26.1379260566
586330-99999,2003-3-17,60.7712549058,54.2340875662,64.1060664823,8,True,53.4610725886
586330-99999,2003-7-30,197.698403217,171.345937639,216.061832397,4,False,8.4622848238
586330-99999,2003-2-25,82.7244686816,70.083859438,97.753121967,6,True,38.7106544647
586330-99999,2003-2-25,143.542440653,121.012335197,171.345937639,8,True,16.6683876662
586330-99999,2003-2-25,341.815767639,331.265000575,358.131585378,6,False,25.268547719
586330-99999,2003-2-25,28.811687683,15.6688335888,51.9075210023,6,False,27.2764314679
586330-99999,2003-7-15,68.5123289756,346.702760028,29.7789295248,6,True,20.4764607255
586330-99999,2003-7-15,137.436290587,121.012335197,151.237584162,4,False,16.8313962441
586330-99999,2003-7-25,31.6631659351,18.6947570231,48.9397331496,4,True,27.1501494044
586330-99999,2003-7-25,73.1762928637,61.8342277842,84.9115033947,5,False,51.3032642793
586330-99999,2003-7-25,197.698403217,171.345937639,216.061832397,4,False,8.4622848238
586330-99999,2003-5-11,25.6956282398,347.961713307,61.8342277842,14,True,33.0721537902
586330-99999,2003-5-11,80.0322551258,75.1194103513,84.9115033947,4,False,39.3102732426
586330-99999,2003-11-17,354.970690637,352.023862741,358.131585378,4,True,27.9194018266
586330-99999,2003-11-17,74.3324728539,70.083859438,77.2535102599,4,True,58.228811115
586330-99999,2003-10-28,145.335216074,121.012335197,171.345937639,7,True,16.1873684214
586330-99999,2003-10-28,40.3275205255,18.6947570231,58.1683954262,9,False,33.9992581773
586330-99999,2003-10-23,143.542440653,121.012335197,171.345937639,8,True,16.6683876662
586330-99999,2003-10-23,10.3503797542,354.598264595,29.2392440428,5,False,22.1590619197
586330-99999,2003-10-23,47.3417839237,36.6867647742,58.1683954262,6,False,40.2012906187
586330-99999,2003-7-20,60.0061177192,346.702760028,29.7789295248,7,True,20.6947121556
586330-99999,2003-7-20,70.8488343225,59.3124580675,86.8340737779,7,False,46.9579624388
586330-99999,2003-4-26,13.8808542917,8.96885018047,18.6947570231,4,True,22.1570954069
586330-99999,2003-4-26,148.531624495,130.993012702,171.345937639,6,True,13.9208042218
586330-99999,2003-4-26,66.9394396711,60.8326796437,74.3919269263,6,False,60.6338633037
586330-99999,2003-11-7,43.9148983501,11.0880477322,78.1257959847,13,False,33.0752680114
586330-99999,2003-9-18,152.658525343,108.326110692,216.061832397,13,True,16.8325303361
586330-99999,2003-9-18,30.5581616248,18.6947570231,45.0557846884,6,False,20.5462607391
586330-99999,2003-9-18,58.6647672697,51.9075210023,64.1060664823,9,False,46.21659182
586330-99999,2003-9-18,336.515065106,331.265000575,341.251790292,4,False,30.1746801172
586330-99999,2003-4-21,80.4453075029,346.702760028,355.092893935,4,True,21.6820764157
586330-99999,2003-4-21,67.8017908473,61.6299105298,74.3919269263,5,False,61.8823037958
586330-99999,2003-11-2,40.0224026225,15.6688335888,61.6299105298,11,False,38.0350347763
586330-99999,2003-5-31,348.768305496,316.848307013,8.96885018047,5,True,25.7193909012
586330-99999,2003-5-31,54.837444657,36.6867647742,74.3919269263,5,True,43.8901253278
586330-99999,2003-6-5,103.096590773,97.753121967,108.447518313,4,True,32.4827336105
586330-99999,2003-12-2,2.01226139069,352.023862741,11.0880477322,5,True,24.4614600243
586330-99999,2003-12-2,146.868178244,121.012335197,171.345937639,6,True,14.6032332528
586330-99999,2003-12-2,82.795510896,60.8326796437,108.447518313,7,False,31.4774428277
586330-99999,2003-9-13,80.7839793214,76.0128787899,87.3011310132,4,True,37.4200535685
586330-99999,2003-9-13,31.0826990453,18.6947570231,45.0557846884,4,False,19.7054265593
586330-99999,2003-9-13,58.0262550569,51.5946347438,64.1060664823,8,False,43.1286011429
586330-99999,2003-9-13,336.515065106,331.265000575,341.251790292,4,False,30.1746801172
