station,date,angle,angle_1,angle_2,str,fromto,dist
501360-99999,2003-5-21,153.866905177,149.89108055,157.459893028,6,False,43.2189653477
501360-99999,2003-5-6,185.023438426,163.137647633,207.495409978,4,True,27.5743015124
501360-99999,2003-6-10,115.823395329,96.736299908,136.255818208,6,True,67.0846864359
501360-99999,2003-6-15,114.819565497,96.736299908,136.255818208,6,True,72.4079422333
501360-99999,2003-6-5,105.854318452,96.736299908,116.040639499,4,True,69.2299382701
501360-99999,2003-8-14,162.432041604,134.050826636,176.079769289,8,True,39.4125952815
501360-99999,2003-8-19,157.545811825,149.213732092,171.611018994,4,True,48.4002772446
501360-99999,2003-8-24,122.474428825,112.943898464,134.787481608,7,True,52.747947489
501360-99999,2003-8-24,164.415133708,149.213732092,171.611018994,5,True,51.9148275613
501360-99999,2003-8-29,122.073692472,112.943898464,134.787481608,8,True,54.7512793919
501360-99999,2003-8-9,173.972751003,172.073786682,176.079769289,4,True,28.3558962467
501360-99999,2003-9-13,160.01739482,153.466383385,167.812833245,5,False,40.1224051782
501360-99999,2003-9-18,159.705740179,154.607946301,164.254064413,8,False,49.3290071481
501360-99999,2003-9-23,157.089918704,154.607946301,159.378612584,4,False,48.9421098461
501360-99999,2003-9-23,172.46673036,170.438431867,175.214545169,4,False,36.4226787039
501360-99999,2003-9-3,107.145721282,91.7428057802,121.694509042,7,True,78.2767153183
501360-99999,2003-9-8,104.766118302,91.7428057802,121.694509042,5,True,77.5534831747
504340-99999,2003-1-1,150.053702221,122.43640014,167.893080049,9,True,36.9620386648
504340-99999,2003-1-1,105.600271732,93.7028947135,111.136396029,4,False,64.112561986
504340-99999,2003-1-11,161.15705445,153.815891942,167.893080049,5,True,33.2235116166
504340-99999,2003-1-11,176.035437841,172.585565975,179.056581324,5,True,39.3241121435
504340-99999,2003-1-11,100.051316134,87.671039719,111.136396029,6,False,67.484096067
504340-99999,2003-1-16,182.996501943,158.992106106,243.305789052,19,True,29.9756453376
504340-99999,2003-1-21,184.030714033,158.992106106,243.305789052,18,True,30.0729690945
504340-99999,2003-1-26,195.515571045,176.608260911,243.305789052,10,True,27.4079888821
504340-99999,2003-1-26,171.718102146,167.893080049,174.207951457,4,True,35.3323988788
504340-99999,2003-1-26,121.274206057,116.113342881,129.436375987,5,False,57.8877413166
504340-99999,2003-1-31,212.8791799,195.800065272,243.305789052,5,True,19.5687659058
504340-99999,2003-1-31,123.157369542,116.113342881,131.852217565,5,False,62.0508398977
504340-99999,2003-1-6,155.731873205,140.601301946,167.893080049,8,True,40.7735242604
504340-99999,2003-1-6,103.059439771,92.8961119244,111.136396029,5,False,64.7601655165
504340-99999,2003-10-13,133.438284032,122.43640014,142.343519716,7,False,37.5673482838
504340-99999,2003-10-3,130.421697644,122.43640014,136.007826157,4,False,28.8238272508
504340-99999,2003-10-8,136.038647156,129.21029822,145.201596796,6,False,29.7310293171
504340-99999,2003-11-12,177.000538724,174.454366295,179.612975964,5,True,35.4327157964
504340-99999,2003-11-17,137.846245039,122.43640014,153.199692828,8,False,35.0764496476
504340-99999,2003-11-17,166.134793062,161.873199429,171.521143233,4,False,40.5045309372
504340-99999,2003-11-22,142.781387086,134.032266059,153.199692828,5,False,29.1502112942
504340-99999,2003-11-22,166.134793062,161.873199429,171.521143233,4,False,40.5045309372
504340-99999,2003-11-7,176.928755592,174.454366295,179.612975964,4,True,39.7646337758
504340-99999,2003-2-10,149.572880697,145.867791442,154.229835232,4,True,49.3145869869
504340-99999,2003-2-10,125.718410096,115.855923,133.999345763,9,False,58.3672701995
504340-99999,2003-2-15,132.222302741,129.436375987,133.999345763,5,False,52.9954331146
504340-99999,2003-2-20,160.705439141,140.017215242,174.207951457,4,True,35.4384931574
504340-99999,2003-2-20,130.95550805,129.21029822,133.323140427,4,False,50.2240719185
504340-99999,2003-2-25,132.255205436,127.361343859,136.007826157,7,False,42.4550607597
504340-99999,2003-2-5,212.8791799,195.800065272,243.305789052,5,True,19.5687659058
504340-99999,2003-2-5,103.652191984,93.7028947135,111.136396029,5,True,68.3232002314
504340-99999,2003-2-5,121.940461785,115.855923,131.852217565,6,False,61.4872618243
504340-99999,2003-3-12,160.456659428,153.199692828,179.612975964,5,False,46.1614309532
504340-99999,2003-3-17,155.667580294,153.199692828,158.327382411,4,False,45.3775675332
504340-99999,2003-3-2,135.241876122,127.361343859,154.229835232,7,False,42.2498930598
504340-99999,2003-3-22,176.461555512,172.585565975,179.612975964,4,False,49.5656997705
504340-99999,2003-3-7,141.751085133,133.999345763,154.229835232,4,False,46.7474448633
504340-99999,2003-4-11,212.8791799,195.800065272,243.305789052,5,True,19.5687659058
504340-99999,2003-4-16,212.8791799,195.800065272,243.305789052,5,True,19.5687659058
504340-99999,2003-4-26,195.630235192,179.612975964,206.749529107,4,True,26.0528390659
504340-99999,2003-5-1,170.825939307,160.703509816,177.287671251,6,True,26.618422927
504340-99999,2003-5-1,195.630235192,179.612975964,206.749529107,4,True,26.0528390659
504340-99999,2003-5-31,107.778118216,92.8961119244,121.352822754,4,True,63.47596071
504340-99999,2003-5-31,142.808617878,129.21029822,158.992106106,4,True,28.9738711658
504340-99999,2003-5-6,148.00840031,145.465553587,151.676036928,5,False,47.4866431665
